location,ranking,loc_id
Dairy Circle,top1,0
7th Block Jayanagar,top1,1
Vivek Nagar,top1,2
Kavika Layout,top1,3
Nandi Durga Road,top1,4
Okalipura,top1,5
cooketown,top1,6
akshaya nagar t c palya,top1,7
Domlur Layout,top1,8
Guni Agrahara,top1,9
8th Block Jayanagar,top1,10
High grounds,top1,11
Lalbagh Road,top1,12
Byadarahalli,top1,13
Gopalapura,top1,14
Chikkabidarakallu,top1,15
Shankarapuram,top1,16
3rd Block Koramangala,top1,17
2nd Block Jayanagar,top1,18
Bharathnagar,top1,19
LIC Colony,top1,20
Nanjappa Layout Vidyaranyapura,top1,21
Bahubali Nagar,top1,22
Victoria Layout,top1,23
Ambedkar Colony,top1,24
Richmond Town,top1,25
Sarvobhogam Nagar,top1,26
Rainbow Drive,top1,27
Subhash Nagar,top1,28
Hal old airport road,top1,29
Behind Don Bosco Church,top1,30
Laxminarayana Layout,top1,31
Chikkagubbi,top1,32
Maruthi Extension,top1,33
"Basnashankari,6th stage,",top1,34
Jaya Mahal layout,top1,35
Jayanagar,top1,36
Omarbagh Layout,top1,37
sapthagiri Layout,top1,38
Palace Road,top1,39
"Ananthapura, T C palaya Main Road",top1,40
Cottonpet,top1,41
Cambridge Layout,top1,42
Srirampuram,top1,43
Basavangudi,top1,44
Kadarenahalli,top1,45
Krishna Nagar,top1,46
Kyalasanahalli,top1,47
"Jayanagar, ",top1,48
Langford Town,top1,49
Sector 6 HSR Layout,top1,50
Sathya Sai Layout,top1,51
pavitra paradise,top1,52
Lakshmi Layout,top1,53
Mathikere Extension,top1,54
Rajaji Nagar,top1,55
Sector 7 HSR Layout,top1,56
Kodihalli,top1,57
Ganganahalli,top1,58
Wilson Garden,top1,59
Ashok Nagar,top1,60
Vaishnavi Layout,top1,61
Malleshwaram,top1,62
Yeshwanthpur Industrial Suburb,top1,63
Keshava Nagar,top1,64
Bommenahalli,top1,65
RMV,top1,66
Uvce Layout,top1,67
Indira Nagar,top1,68
Frazer Town,top1,69
BEL Road,top1,70
Ilyas Nagar,top1,71
"Gubbi Cross, Hennur Main Road",top1,72
Sulthangunta,top1,73
Prashanth Nagar,top1,74
Srinagar,top1,75
Sarakki Nagar,top1,76
8th block Koramangala,top1,77
Hullahalli,top1,78
Benson Town,top1,79
Marenahalli,top1,80
KAMAKIYA,top1,81
3rd Block Banashankari,top1,82
kg halli jalhalli west,top1,83
VHBCS Layout,top1,84
Binny Pete,top1,85
"HSR Layout 7th sector, ",top1,86
Seshadripuram,top1,87
Doopanahalli,top1,88
Kathriguppe IV Phase,top1,89
Indira Nagar Stage 2,top1,90
6th block Koramangala,top1,91
Dwarka Nagar,top1,92
Banagirinagar,top1,93
T G extension,top1,94
Kanakadasa Layout,top1,95
 Devarabeesana Halli,top1,96
1st Phase JP Nagar,top1,97
Cleveland Town,top1,98
Banashankari Stage II,top1,99
Dollars Colony,top1,100
Singena Agrahara,top1,101
HAL 2nd Stage,top1,102
4th Block Jayanagar,top1,103
Agrahara Dasarahalli,top1,104
Sampangi Rama Nagar,top1,105
Lakshmiamma Garden,top1,106
 Bhoganhalli,top1,107
4th T block Jayanagar,top1,108
"EPIP AREA, WHITEFIELD",top1,109
Hebbal Kempapura,top1,110
Domlur,top1,111
A Narayanapura,top1,112
4th Block Koramangala,top1,113
BEL Layout,top1,114
Gandhi Nagar,top1,115
Ulsoor,top1,116
Pulkeshi Nagar,top1,117
MRCR Layout,top1,118
3rd Block Hrbr Layout,top1,119
Chandra Layout,top1,120
T Dasarahalli,top1,121
Bettadasanapura,top1,122
Nirman Layout,top1,123
Nandini Layout,top1,124
Banashankari 2 nd Stage,top1,125
Banashankari stage 2,top1,126
"MEI layout, Bagalgunte",top1,127
Dollars Layout,top1,128
 Basavangudi,top1,129
Cooke Town,top1,130
Vidya Nagar,top1,131
Koramangala,top1,132
Sadanand Nagar,top1,133
Gandhi Bazar,top1,134
Wheelers Road,top1,135
Moodalapalya,top1,136
Iblur Village,top1,137
Mahalakshmi Layout,top1,138
Hennur Gardens,top1,139
Sector 1 HSR Layout,top1,140
Tasker Town,top1,141
Thigalarapalya,top1,142
St. John's Road,top1,143
"Haralur Road, ",top1,144
Kuvempu Layout,top1,145
