loc_id,area_type,size,total_sqft,bath,balcony,price,bed_bath,price_per_sqft
0,Super built-up  Area,3,2048.0,3,2,206.0,516.0,10058.594
1,Super built-up  Area,3,1707.0,3,2,171.0,516.0,10017.575
2,Plot  Area,2,1600.0,2,1,160.0,344.0,10000.0
3,Plot  Area,3,750.0,2,1,75.0,476.0,10000.0
4,Super built-up  Area,3,2500.0,3,1,250.0,516.0,10000.0
5,Plot  Area,5,1200.0,4,3,120.0,820.0,10000.0
6,Super built-up  Area,3,1900.0,3,2,190.0,516.0,10000.0
7,Plot  Area,4,1200.0,4,0,120.0,688.0,10000.0
8,Super built-up  Area,3,2000.0,3,2,200.0,516.0,10000.0
9,Super built-up  Area,3,1200.0,2,2,120.0,476.0,10000.0
10,Super built-up  Area,2,1100.0,2,2,110.0,344.0,10000.0
11,Super built-up  Area,3,1900.0,2,2,190.0,476.0,10000.0
12,Super built-up  Area,4,3675.0,4,3,367.0,688.0,9986.395
13,Super built-up  Area,3,3155.0,3,2,315.0,516.0,9984.152
14,Super built-up  Area,3,1950.2,3,2,193.0,516.0,9896.421
15,Built-up  Area,4,3309.0,4,3,325.0,688.0,9821.698
16,Super built-up  Area,2,823.0,2,1,80.0,344.0,9720.535
17,Built-up  Area,3,1750.0,3,3,170.0,516.0,9714.286
18,Built-up  Area,2,1000.0,2,1,97.0,344.0,9700.0
19,Plot  Area,2,1245.0,2,1,120.0,344.0,9638.554
20,Super built-up  Area,2,1200.0,2,1,115.0,344.0,9583.333
21,Super built-up  Area,5,1200.0,4,2,115.0,820.0,9583.333
22,Plot  Area,5,1575.0,4,0,150.0,820.0,9523.81
23,Super built-up  Area,3,1650.0,3,1,165.0,516.0,10000.0
23,Super built-up  Area,2,1300.0,2,1,129.0,344.0,9923.077
23,Built-up  Area,2,850.0,2,1,72.0,344.0,8470.588
24,Super built-up  Area,3,1875.0,3,2,165.0,516.0,8800.0
24,Super built-up  Area,2,1468.0,2,1,140.0,344.0,9536.785
24,Built-up  Area,2,1463.0,1,1,142.0,304.0,9706.083
24,Super built-up  Area,2,1468.0,3,2,130.0,384.0,8855.586
24,Super built-up  Area,3,1910.0,3,1,190.0,516.0,9947.644
24,Super built-up  Area,2,1464.0,2,1,145.0,344.0,9904.372
25,Super built-up  Area,3,1352.0,3,0,135.0,516.0,9985.207
25,Super built-up  Area,2,1233.0,2,3,100.0,344.0,8110.3
25,Super built-up  Area,3,1835.0,3,3,175.0,516.0,9536.785
25,Super built-up  Area,4,2380.0,4,3,242.0,688.0,10168.067
26,Built-up  Area,3,1490.0,3,0,140.0,516.0,9395.973
27,Plot  Area,3,1500.0,3,2,138.0,516.0,9200.0
28,Plot  Area,4,1200.0,4,1,110.0,688.0,9166.667
29,Plot  Area,3,1200.0,3,2,110.0,516.0,9166.667
30,Plot  Area,4,1200.0,4,1,110.0,688.0,9166.667
31,Plot  Area,4,1584.0,3,2,145.0,648.0,9154.04
32,Plot  Area,4,4382.0,4,3,400.0,688.0,9128.252
33,Plot  Area,5,2000.0,4,2,180.0,820.0,9000.0
34,Plot  Area,3,600.0,3,1,54.0,516.0,9000.0
35,Super built-up  Area,3,2648.0,3,3,238.0,516.0,8987.915
36,Super built-up  Area,2,1170.0,2,3,105.0,344.0,8974.359
36,Super built-up  Area,3,2030.0,2,1,182.0,476.0,8965.517
37,Super built-up  Area,4,3300.0,5,3,318.0,728.0,9636.364
37,Super built-up  Area,4,3317.5,5,0,268.5,728.0,8093.444
38,Super built-up  Area,2,1300.0,1,1,115.0,304.0,8846.154
39,Built-up  Area,3,1480.0,2,0,145.0,476.0,9797.297
39,Built-up  Area,2,1650.0,1,1,130.0,304.0,7878.788
40,Plot  Area,2,680.0,3,2,60.0,384.0,8823.529
41,Built-up  Area,2,850.0,2,1,75.0,344.0,8823.529
42,Super built-up  Area,2,1244.0,2,2,95.0,344.0,7636.656
42,Super built-up  Area,3,2098.0,3,1,210.0,516.0,10009.533
43,Plot  Area,2,432.0,2,1,40.0,344.0,9259.259
43,Built-up  Area,3,1200.0,2,2,100.0,476.0,8333.333
44,Super built-up  Area,3,2200.0,2,1,162.0,476.0,7363.636
44,Built-up  Area,3,1500.0,2,1,143.0,476.0,9533.333
44,Super built-up  Area,3,1850.0,3,1,168.0,516.0,9081.081
44,Super built-up  Area,2,1036.0,2,2,105.0,344.0,10135.135
44,Built-up  Area,4,2500.0,4,1,150.0,688.0,6000.0
44,Super built-up  Area,4,2600.0,4,3,260.0,688.0,10000.0
44,Super built-up  Area,3,1600.0,2,2,160.0,476.0,10000.0
44,Built-up  Area,2,1560.0,2,2,145.0,344.0,9294.872
44,Super built-up  Area,2,1100.0,2,3,93.0,344.0,8454.545
44,Super built-up  Area,3,1542.14,3,3,120.0,516.0,7781.395
44,Built-up  Area,2,1050.0,2,1,103.0,344.0,9809.524
